time,step,value
1732493182.0236852,106415,103.0
1732493185.4402854,106575,104.0
1732493207.0764728,107647,105.0
1732493211.5510628,107871,105.0
1732493214.1069555,107999,105.0
1732493218.5851586,108223,105.0
1732493218.9042232,108239,105.0
1732493227.1215708,108639,106.0
1732493231.599516,108863,106.0
1732493239.5958583,109263,106.0
1732493248.7701888,109711,107.0
1732493249.7293837,109759,107.0
1732493258.0478473,110175,107.0
1732493263.8030856,110463,107.0
1732493265.0827384,110527,107.0
1732493272.980273,110911,108.0
1732493289.5060067,111727,109.0
1732493294.300918,111967,109.0
1732493296.8598652,112095,109.0
1732493297.180234,112111,109.0
1732493304.2214243,112463,109.0
1732493309.8828921,112735,110.0
1732493322.6765926,113375,110.0
1732493329.2905223,113695,111.0
1732493339.1994677,114191,111.0
1732493356.0450706,115023,112.0
1732493359.5594394,115199,112.0
1732493365.3145413,115487,112.0
1732493368.5131843,115647,112.0
1732493368.8327706,115663,112.0
1732493374.806734,115951,113.0
1732493382.1636028,116319,113.0
1732493388.2404187,116623,113.0
1732493397.7348866,117087,114.0
1732493400.6115403,117231,114.0
1732493401.5703435,117279,114.0
1732493403.8101232,117391,114.0
1732493407.008694,117551,114.0
1732493407.9669833,117599,114.0
1732493409.565407,117679,114.0
1732493412.6591358,117823,115.0
1732493423.2262526,118351,115.0
1732493429.302144,118655,115.0
1732493434.6401587,118911,116.0
1732493454.369727,119887,117.0
1732493465.5597746,120447,117.0
1732493470.991504,120719,117.0
1732493474.0870104,120863,118.0
1732493475.6865218,120943,118.0
1732493479.203096,121119,118.0
1732493481.1235704,121215,118.0
1732493483.3614447,121327,118.0
1732493489.1208405,121615,118.0
1732493490.7235222,121695,118.0
1732493492.3223207,121775,118.0
1732493497.9763908,122047,119.0
1732493501.493603,122223,119.0
1732493502.4533193,122271,119.0
1732493508.852897,122591,119.0
1732493511.4123583,122719,119.0
1732493514.6079116,122879,119.0
1732493525.7034676,123423,120.0
1732493527.3052547,123503,120.0
1732493546.7231767,124463,121.0
1732493547.0436614,124479,121.0
1732493557.1834798,124975,122.0
1732493570.962666,125663,122.0
1732493573.5194004,125791,122.0
1732493576.0761867,125919,122.0
1732493576.3961208,125935,122.0
1732493587.207285,126463,123.0
1732493590.727985,126639,123.0
1732493594.5634003,126831,123.0
1732493599.9002564,127087,124.0
1732493618.9859164,128031,125.0
1732493626.6633413,128415,125.0
1732493636.2593536,128895,125.0
1732493637.5386362,128959,125.0
1732493641.913092,129167,126.0
1732493647.3459928,129439,126.0
1732493649.2668006,129535,126.0
1732493662.6063545,130191,127.0
1732493667.7230709,130447,127.0
1732493671.2404284,130623,127.0
1732493674.1169255,130767,127.0
1732493676.675312,130895,127.0
1732493683.4599595,131199,128.0
1732493684.103308,131231,128.0
1732493685.0629935,131279,128.0
1732493685.7023485,131311,128.0
1732493687.61751,131407,128.0
1732493694.0123627,131727,128.0
1732493694.9729428,131775,128.0
1732493696.5727258,131855,128.0
1732493699.4518855,131999,128.0
1732493721.7529254,133103,129.0
1732493728.1387973,133407,130.0
1732493728.4647956,133423,130.0
1732493729.1256669,133455,130.0
1732493733.6744707,133679,130.0
1732493734.952838,133743,130.0
1732493737.833381,133887,130.0
1732493738.1540513,133903,130.0
1732493739.7525115,133983,130.0
1732493741.3532882,134063,130.0
1732493746.0536044,134287,131.0
1732493759.798725,134975,131.0
1732493762.0379467,135087,131.0
1732493763.6357825,135167,131.0
1732493768.0100412,135375,132.0
1732493770.9116206,135519,132.0
1732493781.6100109,136047,132.0
1732493781.9298217,136063,132.0
1732493784.6259804,136191,132.0
1732493796.8556185,136799,133.0
1732493799.4143798,136927,133.0
1732493799.7337172,136943,133.0
1732493801.0133705,137007,133.0
1732493811.1528885,137503,134.0
1732493825.9953284,138239,134.0
1732493827.3628685,138303,135.0
1732493834.806817,138671,135.0
1732493840.5655396,138959,135.0
1732493841.5245998,139007,135.0
1732493848.1456702,139327,136.0
1732493851.6649103,139503,136.0
1732493859.3299131,139887,136.0
1732493861.5692716,139999,136.0
1732493867.0062804,140271,136.0
