time,step,value
1732426414.8417544,750767,733.0
1732426416.6197028,750991,733.0
1732426419.6819372,751375,733.0
1732426421.187583,751567,733.0
1732426425.2841241,752063,734.0
1732426426.1906435,752175,734.0
1732426427.995291,752399,734.0
1732426443.195473,754175,736.0
1732426444.692927,754351,736.0
1732426445.460829,754447,736.0
1732426450.916295,755087,737.0
1732426451.4190972,755151,737.0
1732426453.2771416,755375,737.0
1732426456.3296278,755727,738.0
1732426469.933515,757407,739.0
1732426483.6229978,759055,741.0
1732426485.6357806,759311,741.0
1732426489.40275,759791,741.0
1732426514.0616417,762847,744.0
1732426525.9250777,764303,746.0
1732426526.9285066,764431,746.0
1732426540.6850789,766127,748.0
1732426543.198066,766447,748.0
1732426567.8523343,769503,751.0
1732426585.4703135,771679,753.0
1732426623.074115,776239,758.0
1732426629.975808,777103,758.0
1732426633.3069897,777487,759.0
1732426651.220974,779471,761.0
1732426662.4657142,780751,762.0
1732426671.0320365,781711,763.0
1732426673.5800095,782015,763.0
1732426681.6957412,782943,764.0
1732426709.0216038,786015,767.0
1732426724.9423869,787807,769.0
1732426731.9391806,788591,770.0
1732426745.2664394,790063,771.0
1732426747.4738383,790319,771.0
1732426751.7313554,790783,772.0
1732426762.067892,791935,773.0
1732426778.4478085,793727,775.0
1732426791.1402044,795119,776.0
1732426801.5911186,796191,777.0
1732426814.6623633,797631,778.0
1732426814.9500408,797663,778.0
1732426815.8715696,797743,779.0
1732426841.2520354,800623,781.0
1732426863.4586966,803135,784.0
1732426868.4675848,803711,784.0
1732426884.8254244,805519,786.0
1732426885.3641086,805583,786.0
1732426898.260624,807039,788.0
1732426905.8163593,807919,788.0
1732426914.5564077,808863,789.0
1732426928.158801,810351,791.0
1732426972.1636853,815279,796.0
1732426978.0976253,815983,796.0
1732426978.6392212,816047,796.0
1732426979.8294604,816159,797.0
1732427000.2953973,818495,799.0
1732427007.0669215,819231,800.0
1732427016.2336206,820271,801.0
1732427016.5028515,820303,801.0
1732427040.035243,822959,803.0
1732427047.845374,823823,804.0
1732427052.027224,824271,804.0
1732427056.642294,824783,805.0
1732427060.049943,825167,805.0
1732427061.4809687,825327,805.0
1732427078.6785996,827263,807.0
1732427081.2634737,827535,808.0
1732427096.554514,829327,809.0
1732427102.216488,829967,810.0
1732427118.871554,831855,812.0
1732427133.0306196,833503,813.0
1732427137.608849,834015,814.0
1732427146.5033772,835023,815.0
1732427147.8522782,835183,815.0
1732427159.3312433,836431,816.0
1732427161.733051,836655,817.0
1732427167.3274817,837247,817.0
1732427206.4357107,841295,821.0
1732427207.6042132,841423,821.0
1732427215.8286064,842351,822.0
1732427217.628694,842575,822.0
1732427239.0189037,845183,825.0
1732427246.3981445,846095,826.0
1732427247.2802954,846207,826.0
1732427247.7808201,846271,826.0
1732427248.2843044,846335,826.0
1732427266.2319005,848559,828.0
1732427270.6226795,849071,829.0
1732427272.013552,849247,829.0
1732427287.1478925,851087,831.0
1732427293.3373694,851871,831.0
